gj,lisa,lisa_p_fdr,genuine_dep_pca,nwpri_pca,ntd_pov_belt,buruli_focus
SEKYERE SOUTH,Not significant,0.1275,-0.607,-0.767,0,0
SENE EAST,High-High,0.0079,1.668,0.9859999999999999,1,0
SENE WEST,High-High,0.0079,0.415,0.518,1,0
SHAI OSUDOKU,Not significant,0.499,-0.423,-0.98,0,0
SHAMA,Not significant,0.4863,-0.473,-0.522,1,0
SISSALA EAST,High-High,0.0079,0.373,0.709,1,0
SISSALA WEST,Not significant,0.0935,0.568,0.78,1,0
SOUTH DAYI,Not significant,0.4271,-0.351,-0.052,1,0
SOUTH TONGU,Not significant,0.3013,0.217,0.019000000000000003,1,0
SUAMAN,Not significant,0.2815,1.479,0.299,1,0
SUAME MUNICIPAL,Low-Low,0.0079,-1.402,-1.052,0,0
SUHUM MUNICIPAL,Low-Low,0.0463,-0.726,-0.592,0,1
SUNYANI MUNICIPAL,Not significant,0.201,-1.378,-0.681,1,0
SUNYANI WEST,Not significant,0.0953,-0.861,-0.543,1,0
TAIN,Not significant,0.238,-0.157,-0.463,1,0
TALENSI,Not significant,0.1156,1.237,1.479,1,0
TAMALE METROPOLITAN,Low-High,0.0079,-0.155,1.324,1,0
TANO NORTH MUNICIPAL,Not significant,0.2503,-0.653,0.025,1,0
TANO SOUTH MUNICIPAL,Not significant,0.4863,-0.336,0.069,1,0
TARKWA NSUAEM,Not significant,0.2815,-0.743,-0.6,1,0
TATALE SANGULI,Not significant,0.3013,2.008,1.971,1,0
TECHIMAN MUNICIPAL,Not significant,0.3327,-1.116,0.16800000000000004,1,0
TECHIMAN NORTH,Not significant,0.3886,-0.768,0.276,1,0
TEMA METROPOLITAN,Not significant,0.1372,-0.9369999999999999,-1.224,0,0
TEMA WEST MUNICIPAL,Not significant,0.325,-1.342,-1.294,0,0
TEMPANE,Not significant,0.2377,1.486,1.366,1,0
TOLON,High-High,0.0124,2.285,2.076,1,0
TWIFO ATTI-MORKWA,Not significant,0.4257,0.378,-0.179,0,0
TWIFO HEMANG LOWER DENKYIRA,Not significant,0.499,0.435,-0.219,0,0
UPPER DENKYIRA EAST MUNICIPAL,Not significant,0.311,-0.4179999999999999,-0.381,0,0
UPPER DENKYIRA WEST,Not significant,0.4863,0.125,-0.375,0,0
UPPER MANYA,Not significant,0.4966,0.501,-0.281,0,0
UPPER WEST AKIM,Not significant,0.3784,0.333,-0.342,0,0
WA EAST,High-High,0.0079,1.722,1.119,1,0
WA MUNICIPAL,Low-High,0.0124,-0.767,0.456,1,0
WA WEST,Not significant,0.0971,2.146,1.39,1,0
WASSA AMENFI CENTRAL,Not significant,0.4488,0.775,-0.2,1,0
WASSA AMENFI EAST,Not significant,0.4863,0.621,-0.243,1,0
WASSA AMENFI WEST,Not significant,0.3214,-0.114,-0.462,1,0
WASSA EAST,Not significant,0.4952,0.8070000000000002,-0.191,1,0
WEIJA GBAWE MUNICIPAL,Low-Low,0.0224,-1.241,-1.284,0,0
WENCHI MUNICIPAL,Not significant,0.311,-0.152,-0.42,1,0
WEST AKIM,Not significant,0.4112,-0.372,-0.467,0,0
WEST GONJA,High-High,0.0079,0.469,2.055,1,0
WEST MAMPRUSI MUNICIPAL,High-High,0.0079,0.847,2.036,1,0
YENDI MUNICIPAL,High-High,0.0124,0.841,1.679,1,0
YILO KROBO,Low-Low,0.0409,-0.499,-0.512,0,0
YUNYOO-NASUAN,Not significant,0.054,2.04,2.353,1,0
ZABZUGU,High-High,0.0124,1.541,1.7710000000000001,1,0
