gj,nwpri_pca,genuine_dep_pca,poverty_incidence,open_defecation_pct_rgnbc,san_deficit,water_deficit,uninsured_rate,literacy_rate,ntd_pov_belt,buruli_focus,oncho_highrisk,total_pop,n_mmda,DISTRICT,lisa,lisa_p_fdr
BIA EAST,0.203,0.832,32.9,6.299999999999999,50.89999999999999,18.5,43.89,57.37,1,0,1,53073,1,BIA EAST,Not significant,0.3614
BIA WEST,0.028,-1.078,24.5,6.3,50.9,18.5,7.14,89.65,1,0,1,115881,1,BIA WEST,Not significant,0.3222
BIAKOYE,1.2474432318992656,0.20167268275620848,32.47860090940888,50.6,57.2,37.0,35.72369779643232,72.51480517663518,1,0,1,100065,2,BIAKOYE,Not significant,0.4112
BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,0.05500000000000001,-0.902,25.799999999999997,6.300000000000001,50.900000000000006,18.5,8.9,86.51,1,0,1,167971,1,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Not significant,0.3614
BINDURI,1.429,1.469,53.8,71.3,72.9,4.5,14.26,47.32,1,0,1,76679,1,BINDURI,Not significant,0.2238
BIRIM CENTRAL MUNICIPAL,-0.71,-1.373,11.9,5.7,26.5,12.700000000000005,12.18,86.96,0,0,0,76302,1,BIRIM CENTRAL MUNICIPAL,Not significant,0.3222
BIRIM NORTH,-0.578,-0.796,18.3,5.7,26.5,12.700000000000003,17.16,78.7,0,0,0,82669,1,BIRIM NORTH,Not significant,0.1665
BIRIM SOUTH,-0.442,-0.398,24.9,5.7,26.5,12.700000000000005,29.4,79.56,0,0,0,35654,1,BIRIM SOUTH,Not significant,0.3169
BODI,-0.091,0.735,18.6,6.3,50.9,18.5,37.76,41.45,1,0,1,65748,1,BODI,Not significant,0.28
BOLE,2.005,0.82,37.2,73.6,76.4,41.8,19.56,51.2,1,0,1,115800,1,BOLE,Not significant,0.0567
BOLGA  EAST,0.835,-0.35,24.9,71.3,72.9,4.5,7.410000000000001,67.79,1,0,1,38824,1,BOLGA  EAST,Not significant,0.1083
BOLGATANGA MUNICIPAL,0.739,-0.627,20.2,71.3,72.9,4.5,8.78,71.69,1,0,1,142509,1,BOLGATANGA MUNICIPAL,Not significant,0.2746
BONGO,1.4329999999999998,1.257,54.0,71.3,72.9,4.5,17.02,55.36,1,0,1,116431,1,BONGO,Not significant,0.3822
BOSOME FREHO,-0.586,0.396,31.3,9.3,18.599999999999994,3.2999999999999976,49.05,71.45,0,0,0,62259,1,BOSOME FREHO,Not significant,0.2102
BOSOMTWE,-0.9,-0.948,16.1,9.3,18.599999999999994,3.299999999999997,28.31,86.13,0,0,0,165180,1,BOSOMTWE,Low-Low,0.0159
BUILSA NORTH,1.139,0.5,39.7,71.3,72.9,4.5,11.47,60.07,1,0,1,56571,1,BUILSA NORTH,Not significant,0.1673
BUILSA SOUTH,1.456,1.58,55.1,71.3,72.9,4.5,21.89,48.92,1,0,1,36575,1,BUILSA SOUTH,Not significant,0.1325
BUNKPURUGU NAKPANDURI,1.9690000000000003,0.393,38.3,64.2,79.5,42.5,10.71,61.44,1,0,1,82384,1,BUNKPURUGU NAKPANDURI,High-High,0.0079
CAPE COAST METROPOLITAN,-0.615,-1.171,12.9,12.7,30.200000000000006,9.799999999999995,27.52,89.05,0,0,0,187365,1,CAPE COAST METROPOLITAN,Not significant,0.4488
CENTRAL GONJA,2.512,2.382,61.8,73.6,76.4,41.8,46.18,43.08,1,0,1,142762,1,CENTRAL GONJA,High-High,0.0159
CENTRAL TONGU,0.093,0.512,36.0,21.7,32.8,13.599999999999993,31.609999999999996,64.99,1,0,1,83284,1,CENTRAL TONGU,Not significant,0.4116
CHEREPONI,2.29,1.936,53.8,64.2,79.5,42.5,37.28,43.69,1,0,1,87176,1,CHEREPONI,Not significant,0.1222
DAFFIAMA BUSSIE ISSA,0.913,1.198,38.7,56.400000000000006,75.0,2.200000000000003,26.29,44.35,1,0,1,38754,1,DAFFIAMA BUSSIE ISSA,Not significant,0.1602
DENKYEMBOUR,-0.583,-0.9140000000000001,18.1,5.7,26.5,12.700000000000005,12.96,80.13,0,0,0,77029,1,DENKYEMBOUR,Not significant,0.1523
DORMAA EAST,-0.504,-0.697,19.5,13.0,30.8,8.200000000000003,13.64,75.32,1,0,1,67899,1,DORMAA EAST,Low-Low,0.0186
DORMAA MUNICIPAL,-0.58,-0.856,15.8,13.0,30.8,8.200000000000003,17.34,77.82,1,0,1,112702,1,DORMAA MUNICIPAL,Not significant,0.4112
DORMAA WEST,-0.428,-0.284,23.199999999999996,13.0,30.800000000000004,8.200000000000003,20.34,69.9,1,0,1,47913,1,DORMAA WEST,Not significant,0.4427
EAST GONJA MUNICIPAL,2.038,1.109,38.8,73.6,76.4,41.8,29.470000000000002,48.72,1,0,1,117755,1,EAST GONJA MUNICIPAL,High-High,0.0079
EAST MAMPRUSI,2.307,1.528,54.7,64.2,79.5,42.5,16.82,47.72,1,0,1,188006,1,EAST MAMPRUSI,High-High,0.0079
EFFIA KWESIMINTSIM MUNICIPAL,-0.7830000000000001,-1.43,9.3,9.6,29.8,7.599999999999994,23.32,91.02,1,0,1,173975,1,EFFIA KWESIMINTSIM MUNICIPAL,Not significant,0.4116
EFFUTU MUNICIPAL,-0.434,-0.567,21.699999999999996,12.7,30.200000000000003,9.799999999999995,29.94,81.41000000000001,0,0,0,108816,1,EFFUTU MUNICIPAL,Not significant,0.2421
EJISU MUNICIPAL,-0.954,-1.11,13.5,9.3,18.599999999999994,3.2999999999999967,21.69,85.09,0,0,0,180723,1,EJISU MUNICIPAL,Low-Low,0.0294
EJURA-SEKYEDUMASE,-0.717,0.169,25.0,9.3,18.599999999999994,3.299999999999997,33.58,64.12,0,0,0,137672,1,EJURA-SEKYEDUMASE,Not significant,0.4863
EKUMFI,-0.231,0.6899999999999998,31.5,12.7,30.200000000000003,9.799999999999995,59.34000000000001,67.41,0,0,0,56741,1,EKUMFI,Not significant,0.4776
ELLEMBELLE,-0.289,0.11,33.3,9.6,29.8,7.599999999999994,30.29,73.72,1,0,1,120893,1,ELLEMBELLE,Not significant,0.3273
FANTEAKWA NORTH,-0.36,0.035,28.899999999999995,5.7,26.5,12.700000000000005,30.99,71.44,0,0,0,56987,1,FANTEAKWA NORTH,Not significant,0.4977
FANTEAKWA SOUTH,-0.508,-0.671,21.7,5.7,26.5,12.700000000000005,24.61,82.13,0,0,0,54634,1,FANTEAKWA SOUTH,Not significant,0.2375
GA CENTRAL MUNICIPAL,-1.292,-1.221,8.3,4.9,8.799999999999997,1.5,43.68,93.0,0,0,0,332232,1,GA CENTRAL MUNICIPAL,Low-Low,0.032
GA EAST,-1.255,-1.263,10.1,4.9,8.799999999999997,1.5,37.32,93.33,0,0,0,283379,1,GA EAST,Low-Low,0.0079
GA NORTH MUNICIPAL,-1.247,-1.214,10.5,4.9,8.799999999999997,1.5,36.7,91.96000000000001,0,0,0,235292,1,GA NORTH MUNICIPAL,Low-Low,0.0186
GA SOUTH MUNICIPAL,-1.137,-0.599,15.799999999999999,4.9,8.799999999999997,1.5,51.14,85.72,0,1,0,350121,1,GA SOUTH MUNICIPAL,Low-Low,0.0463
GA WEST MUNICIPAL,-1.247,-1.067,10.5,4.9,8.799999999999997,1.5,39.3,88.67,0,1,0,314299,1,GA WEST MUNICIPAL,Low-Low,0.0079
GARU,1.243,1.183,44.7,71.3,72.9,4.5,19.94,48.6,1,0,1,71774,1,GARU,Not significant,0.0513
GOMOA CENTRAL,-0.493,-0.347,18.8,12.7,30.200000000000003,9.799999999999995,45.73,78.77,0,0,0,82592,1,GOMOA CENTRAL,Not significant,0.4239
GOMOA EAST,-0.583,-0.76,14.399999999999999,12.7,30.200000000000003,9.799999999999995,44.5,86.0,0,0,0,308697,1,GOMOA EAST,Not significant,0.2463
GOMOA WEST,-0.297,0.37,28.3,12.7,30.200000000000003,9.799999999999995,50.47,69.56,0,0,0,129512,1,GOMOA WEST,Not significant,0.4656
GUSHEGU,1.952,2.13,51.5,70.6,74.1,29.400000000000013,48.12,40.21,1,0,1,153965,1,GUSHEGU,High-High,0.0079
HO MUNICIPAL,-0.39099999999999996,-1.412,12.5,21.7,32.8,13.599999999999993,13.46,89.44,1,0,1,180142,1,HO MUNICIPAL,Not significant,0.4863
HO WEST,-0.073,-0.317,27.9,21.7,32.8,13.599999999999994,30.91,81.12,1,0,1,83172,1,HO WEST,Not significant,0.4696
HOHOE MUNICIPAL,-0.261,-0.915,18.8,21.7,32.8,13.599999999999994,19.34,83.95,1,0,1,114472,1,HOHOE MUNICIPAL,Not significant,0.4778
JAMAN NORTH,-0.608,-0.9220000000000002,14.5,13.0,30.8,8.200000000000003,7.06,73.59000000000002,1,0,1,116529,1,JAMAN NORTH,Not significant,0.3262
JAMAN SOUTH MUNICIPAL,-0.585,-0.857,15.6,13.0,30.8,8.200000000000003,8.82,73.65,1,0,1,109768,1,JAMAN SOUTH MUNICIPAL,Low-Low,0.0492
JASIKAN,1.2,0.032,30.2,50.6,57.2,37.0,36.8,75.69,1,0,1,59695,1,JASIKAN,Not significant,0.4487
JIRAPA,1.146,1.191,50.1,56.4,75.0,2.200000000000003,12.44,50.88999999999999,1,0,1,91279,1,JIRAPA,Not significant,0.1275
JOMORO,-0.332,0.134,31.2,9.6,29.8,7.599999999999994,31.75,71.3,1,0,1,126576,1,JOMORO,Not significant,0.4235
JUABEN MUNICIPAL,-0.801,-0.479,20.9,9.3,18.599999999999994,3.299999999999997,30.42,78.03,0,0,0,63929,1,JUABEN MUNICIPAL,Low-Low,0.032
JUABOSO,-0.085,0.252,18.9,6.3,50.9,18.5,34.31,55.07000000000001,1,0,1,88814,1,JUABOSO,Not significant,0.3586
KADJEBI,1.138,-0.055999999999999994,27.2,50.6,57.199999999999996,37.0,28.900000000000002,71.36,1,0,1,73959,1,KADJEBI,Not significant,0.2262
KARAGA,1.931,2.063,50.5,70.6,74.1,29.40000000000001,43.87,39.16,1,0,1,114225,1,KARAGA,High-High,0.0079
KASENA NANKANA EAST,1.018,0.065,33.8,71.3,72.9,4.5,12.460000000000003,67.32,1,0,1,99895,1,KASENA NANKANA EAST,Not significant,0.1665
KASENA NANKANA WEST,1.425,1.078,53.6,71.3,72.9,4.5,13.6,58.85,1,0,1,90735,1,KASENA NANKANA WEST,Not significant,0.4024
KETA MUNICIPAL,-0.129,-0.267,25.2,21.7,32.8,13.599999999999994,27.29,74.87,1,0,1,78862,1,KETA MUNICIPAL,Not significant,0.4112
KETU NORTH,-0.087,0.177,27.2,21.7,32.8,13.599999999999994,38.02,68.43,1,0,1,114993,1,KETU NORTH,Not significant,0.4112
KETU SOUTH,-0.119,0.219,25.6,21.7,32.8,13.599999999999996,47.86,69.94,1,0,1,253122,1,KETU SOUTH,Not significant,0.4952
KINTAMPO NORTH MUNICIPAL,0.545,0.251,28.1,44.0,50.4,17.700000000000003,21.6,59.48,1,0,1,140250,1,KINTAMPO NORTH MUNICIPAL,High-High,0.032
KINTAMPO SOUTH,0.502,0.128,26.0,44.0,50.4,17.700000000000003,18.55,59.47999999999999,1,0,1,88384,1,KINTAMPO SOUTH,Not significant,0.3614
KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,-0.363,0.033,25.1,12.7,30.200000000000003,9.799999999999995,45.3,73.94,0,0,0,166017,1,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,Not significant,0.4863
KORLE KLOTTEY MUNICIPAL,-1.245,-1.209,10.6,4.9,8.799999999999997,1.5,34.32,90.8,0,0,0,68633,1,KORLE KLOTTEY MUNICIPAL,Low-Low,0.0079
KPANDAI,1.893,1.824,48.6,70.6,74.1,29.40000000000001,53.63,48.98,1,0,1,126213,1,KPANDAI,High-High,0.0079
KPANDO MUNICIPAL,-0.167,-0.654,23.4,21.7,32.8,13.599999999999996,19.74,81.23,1,0,1,58552,1,KPANDO MUNICIPAL,Not significant,0.3963
KPONE KATAMANSO,-1.247,-1.156,10.5,4.9,8.799999999999997,1.5,37.86,90.74,0,0,0,412828,1,KPONE KATAMANSO,Low-Low,0.0344
