district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,urban,geojson_district,gap_merged_for_map
52,Berekum West,BONO,District,7.47199419999999,-2.71078914019081,49464,14.8,41.6,22.9,77.1,12.49,50.65,64.76,0,BEREKUM WEST,0
53,Dormaa Central Municipal,BONO,Municipal,7.23948645,-2.85657511014467,112702,15.8,41.7,22.18,77.82,17.34,47.13,64.19,1,DORMAA MUNICIPAL,0
54,Dormaa East,BONO,District,7.26432845,-2.64146295349265,67899,19.5,41.7,24.68,75.32,13.64,49.66,65.56,0,DORMAA EAST,0
55,Dormaa West,BONO,District,6.97538415,-2.9463116043167,47913,23.2,40.8,30.1,69.9,20.34,41.23,67.74,0,DORMAA WEST,0
56,Jaman North,BONO,District,7.9132614,-2.69723280400663,116529,14.5,42.4,26.41,73.59,7.06,51.83,67.08,0,JAMAN NORTH,0
57,Jaman South,BONO,Municipal,7.62036559999999,-2.7963718064665,109768,15.6,42.1,26.35,73.65,8.82,49.44,67.67,1,JAMAN SOUTH MUNICIPAL,0
58,Sunyani Municipal,BONO,Municipal,7.3384389,-2.3309226,193595,10.9,41.5,14.47,85.53,11.18,51.26,53.37,1,SUNYANI MUNICIPAL,0
59,Sunyani West Municipal,BONO,Municipal,7.35779433737633,-2.34687996021684,136022,17.6,43.1,20.83,79.17,15.61,55.78,56.77,1,SUNYANI WEST,0
60,Tain,BONO,District,7.9614185,-2.1422727,115568,21.5,41.9,36.55,63.45,19.06,46.67,70.04,0,TAIN,0
61,Wenchi Municipal,BONO,Municipal,7.80281055,-2.08141333112632,124758,23.6,42.2,33.76,66.24,20.26,50.64,72.16,1,WENCHI MUNICIPAL,0
62,Atebubu Amantin Municipal,BONO EAST,Municipal,7.72813859999999,-1.09550967027384,144947,28.8,41.5,40.99,59.01,25.49,44.98,76.73,1,ATEBUBU AMANTIN,0
63,Kintampo North Municipal,BONO EAST,Municipal,8.053714,-1.728919,140250,28.1,43.4,40.52,59.48,21.6,53.38,74.02,1,KINTAMPO NORTH MUNICIPAL,0
64,Kintampo South,BONO EAST,District,7.94321545,-1.73400515142892,88384,26.0,42.3,40.52,59.48,18.55,46.47,76.72,0,KINTAMPO SOUTH,0
65,Nkoranza North,BONO EAST,District,7.7184776,-1.64389618122841,56468,25.8,41.4,34.75,65.25,17.75,46.87,74.22,0,NKORANZA NORTH,0
66,Nkoranza South Municipal,BONO EAST,Municipal,7.45296465,-1.67701851419084,114642,18.0,41.6,29.96,70.04,14.69,46.81,69.18,1,NKORANZA SOUTH,0
67,Pru East,BONO EAST,District,7.9636217,-0.9549861,100840,30.3,41.2,43.86,56.14,28.24,45.26,75.41,0,PRU EAST,0
68,Pru West,BONO EAST,District,8.03487795,-1.31329234137589,69820,38.3,40.8,47.34,52.66,41.22,43.97,77.2,0,PRU WEST,0
69,Sene East,BONO EAST,District,7.6658435,-0.182426172494555,72081,49.5,41.5,49.9,50.1,43.63,43.57,83.92,0,SENE EAST,0
70,Sene West,BONO EAST,District,7.74897775,-0.618112944814146,70104,26.8,41.0,47.63,52.37,20.33,38.67,75.61,0,SENE WEST,0
71,Techiman Municipal,BONO EAST,Municipal,7.5279454,-1.97466940505838,243335,9.8,41.4,23.61,76.39,11.53,43.28,63.26,1,TECHIMAN MUNICIPAL,0
72,Techiman North,BONO EAST,District,7.70365499999999,-1.98577027897075,102529,15.0,41.8,26.88,73.12,14.99,48.06,65.26,0,TECHIMAN NORTH,0
73,Abura Asebu Kwamankese,CENTRAL,District,5.2698722,-1.18890498156872,124465,28.0,44.1,26.92,73.08,35.54,50.57,73.81,0,ABURA-ASEBU-KWAMANKESE,0
74,Agona East,CENTRAL,District,5.63553575,-0.654757357749996,98637,25.9,43.6,22.75,77.25,53.92,49.42,67.03,0,AGONA EAST,0
75,Agona West Municipal,CENTRAL,Municipal,4.8901537,-1.9664135,136569,21.0,43.7,19.49,80.51,36.45,48.1,64.0,1,AGONA WEST MUNICIPAL,0
76,Ajumako Enyan Essiam,CENTRAL,District,5.41243515,-0.984801059019988,120586,29.6,43.5,24.18,75.82,40.74,50.08,76.03,0,AJUMAKO-ENYAN-ESSIAM,0
77,Asikuma Odoben Brakwa,CENTRAL,District,5.62649825,-1.02551876426311,126993,29.0,42.3,25.36,74.64,36.64,45.63,74.39,0,ASIKUMA-ODOBEN-BRAKWA,0
78,Assin Central Municipal,CENTRAL,Municipal,5.73294244999999,-1.31730368183195,88753,18.1,42.8,14.64,85.36,34.53,45.5,64.89,1,ASSIN FOSU,0
79,Assin North,CENTRAL,District,5.82545685,-1.37392719579152,80539,31.9,42.0,27.51,72.49,47.2,42.01,71.0,0,ASSIN NORTH,0
80,Assin South,CENTRAL,District,5.52889644999999,-1.2709401638536,105995,27.4,41.7,25.67,74.33,36.3,45.56,76.06,0,ASSIN SOUTH,0
81,Awutu Senya East Municipal,CENTRAL,Municipal,5.40379055,-0.518157686947431,236527,10.6,42.9,10.35,89.65,41.97,45.99,57.31,1,AWUTU SENYA EAST,0
82,Awutu Senya West,CENTRAL,District,5.61965885,-0.520145612112832,161460,22.5,44.5,25.3,74.7,57.33,45.22,71.46,0,AWUTU SENYA,0
83,Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,CENTRAL,Metropolitan,5.1115501,-1.2484127,187365,12.9,44.3,10.95,89.05,27.52,49.04,48.31,1,CAPE COAST METROPOLITAN,0
84,Effutu Municipal,CENTRAL,Municipal,5.38339225,-0.597395635326539,108816,21.7,44.2,18.59,81.41,29.94,65.75,43.32,1,EFFUTU MUNICIPAL,0
