district_id,district,region,urban_rural_class,lat,lon,total_pop,poverty_incidence,poverty_intensity,illiteracy_rate,literacy_rate,uninsured_rate,non_employment_share,dependency_ratio,admin_urban_class,geojson_district,gap_merged_for_map,improved_water_pct_rgnbc,surface_water_pct_rgnbc,water_over30min_pct_rgnbc,improved_sanitation_pct_rgnbc,open_defecation_pct_rgnbc,female_literacy_pct_rgnbc,male_literacy_pct_rgnbc,area_km2,pop_density,density_approx_flag,urbanicity_z,san_deficit,water_deficit,nwpri_equal,nwpri_pca,nwpri_pc1_var,genuine_dep_pca,oncho_highrisk,trachoma_hist_endemic,ntd_pov_belt,ntd_anchor_resolution,ntd_anchor_confidence,buruli_focus
26,Atwima Nwabiagya North,ASHANTI,District,6.87764335,-1.74489585317473,155025,13.5,43.1,15.74,84.26,21.41,50.93,65.37,0,ATWIMA NWABIAGYA NORTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,217.485844596024,712.8,0,0.752,18.599999999999994,3.299999999999997,-0.809,-0.954,0.605,-1.087,0,0,0,region-broadcast,moderate (literature-ecological),0
27,Atwima Nwabiagya South Municipal,ASHANTI,Municipal,7.0689359,-2.0226618,161893,12.5,43.0,13.83,86.17,23.44,48.4,62.62,1,ATWIMA NWABIAGYA SOUTH,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,373.893662859238,433.0,0,0.44,18.599999999999994,3.299999999999997,-0.794,-0.974,0.605,-1.154,0,0,0,region-broadcast,moderate (literature-ecological),0
28,Bekwai Municipal,ASHANTI,Municipal,6.43631235,-1.59282285301503,137967,19.4,43.6,17.87,82.13,27.7,51.03,68.05,1,BEKWAI MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,545.843561208199,252.8,0,0.103,18.599999999999994,3.299999999999997,-0.628,-0.832,0.605,-0.708,0,0,0,region-broadcast,moderate (literature-ecological),0
29,Bosome Freho,ASHANTI,District,6.3681227,-1.36632312680072,62259,31.3,41.0,28.55,71.45,49.05,40.5,77.42,0,BOSOME FREHO,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,579.806190876884,107.4,0,-0.432,18.599999999999994,3.299999999999997,-0.135,-0.586,0.605,0.396,0,0,0,region-broadcast,moderate (literature-ecological),0
30,Bosomtwi,ASHANTI,District,6.1777503,-0.1969922,165180,16.1,43.8,13.87,86.13,28.31,50.09,67.48,0,BOSOMTWE,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,431.043665161499,383.2,0,0.363,18.599999999999994,3.299999999999997,-0.668,-0.9,0.605,-0.948,0,0,0,region-broadcast,moderate (literature-ecological),0
31,Ejisu Municipal,ASHANTI,Municipal,6.7139918,-1.4665782,180723,13.5,43.6,14.91,85.09,21.69,50.56,63.19,1,EJISU MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,419.802584083778,430.5,0,0.436,18.599999999999994,3.299999999999997,-0.805,-0.954,0.605,-1.11,0,0,0,region-broadcast,moderate (literature-ecological),0
32,Ejura Sekyedumase Municipal,ASHANTI,Municipal,7.38567515,-1.39945747215309,137672,25.0,42.2,35.88,64.12,33.58,46.85,77.37,1,EJURA-SEKYEDUMASE,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,1372.1617484447702,100.3,0,-0.475,18.599999999999994,3.299999999999997,-0.458,-0.717,0.605,0.169,0,0,0,region-broadcast,moderate (literature-ecological),0
33,Juaben Municipal,ASHANTI,Municipal,6.0721368,-0.260652306105858,63929,20.9,43.1,21.97,78.03,30.42,47.11,73.73,1,JUABEN MUNICIPAL,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,174.779536751434,365.8,0,0.334,18.599999999999994,3.299999999999997,-0.565,-0.801,0.605,-0.479,0,0,0,region-broadcast,moderate (literature-ecological),0
34,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",ASHANTI,Metropolitan,6.698152,-1.621229,443945,8.9,42.3,10.82,89.18,22.55,48.25,48.08,1,KUMASI METROPOLITAN,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,22.0681929028625,20117.0,0,2.841,18.599999999999994,3.299999999999997,-0.86,-1.048,0.605,-1.396,0,0,0,region-broadcast,moderate (literature-ecological),0
35,Kwabre East,ASHANTI,Municipal,6.7897864,-1.53792852576917,296814,10.6,43.3,12.89,87.11,24.41,47.25,65.34,1,KWABRE EAST,0,96.7,1.4,2.6,81.4,9.3,61.5,76.8,125.569947839691,2363.7,0,1.501,18.599999999999994,3.299999999999997,-0.808,-1.013,0.605,-1.239,0,0,0,region-broadcast,moderate (literature-ecological),0
